stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2753591,,,7th & Griffin Drive (Straightaway),,45.70018645077457,-111.04603584265888,,,0,,America/Denver,,,0,
2753592,,,Reeves Road & Springhill (Les Schwab),,45.719538380562085,-111.06560740505438,,,0,,America/Denver,,,0,
2753593,,,Belgrade: Main Street & Lewis & Clark Park,,45.77438423517009,-111.17311115686904,,,0,,America/Denver,,,0,
2753594,,,Belgrade: Main & Kennedy,,45.775720467241825,-111.17606772755227,,,0,,America/Denver,,,0,
2753595,,,Belgrade: Grogan @ Peaks Urgent Care,,45.77901786016332,-111.18169012936129,,,0,,America/Denver,,,0,
2753596,,,Belgrade High School,,45.78269880797242,-111.18022466252911,,,0,,America/Denver,,,0,
2753597,,,Belgrade: Jackrabbit @ Gallatin Trails Apartment,,45.78180723886581,-111.18498536003159,,,0,,America/Denver,,,0,
2753598,,,Belgrade: Main & Grogan (Motor Vehicle Office),,45.778648075667775,-111.18196195084786,,,0,,America/Denver,,,0,
2753599,,,Belgrade: Main & Kennedy (Park and Ride),,45.775092265688556,-111.1751134676366,,,0,,America/Denver,,,0,
2753600,,,Belgrade: Main @ Nutrient Ag Solutions,,45.773040231184666,-111.17104985415114,,,0,,America/Denver,,,0,
2753601,,,7th & Griffin Drive (Dotty's),,45.70017842865093,-111.04638119799004,,,0,,America/Denver,,,0,
2753602,,,Reeves Road & Springhill (Les Schwab) To Bozeman,,45.719491003196595,-111.06572539992888,,,0,,America/Denver,,,0,
4230322,,,Laurel Pkwy & Glenellen Dr. (Westbound),,45.6907746076004,-111.114169446221,,,0,,America/Denver,,,0,
4230323,,,Laurel & Sherwood Way,,45.6908075085163,-111.113870788382,,,0,,America/Denver,,,0,
4230324,,,Laurel Pkwy & Saxon Way,,45.692068095831985,-111.11419899999424,,,0,,America/Denver,,,0,
4230325,,,Laurel Pkwy & Baxter Creek Way,,45.69223099345223,-111.11393238026011,,,0,,America/Denver,,,0,
4230326,,,Oak & Abigail,,45.69282297903007,-111.11079615898294,,,0,,America/Denver,,,0,
4230327,,,Oak & Rosa Way (Westbound),,45.69308007308754,-111.10836095841222,,,0,,America/Denver,,,0,
4230328,,,Oak & Rosa Way (Eastbound),,45.692793362082256,-111.10832020969758,,,0,,America/Denver,,,0,
4230329,,,Oak & Twin Lakes Avenue (Westbound),,45.69310084901741,-111.10649656291501,,,0,,America/Denver,,,0,
4230330,,,Oak & Twin Lakes Avenue (Eastbound),,45.692838526544165,-111.10600919369593,,,0,,America/Denver,,,0,
4230331,,,Oak & Cottonwood,,45.692870916785665,-111.10445076082875,,,0,,America/Denver,,,0,
4230332,,,Oak @ Northwest Crossing,,45.69314136822129,-111.10444426899392,,,0,,America/Denver,,,0,
4230333,,,Oak (across from Gallatin High),,45.693121702487275,-111.10215362144774,,,0,,America/Denver,,,0,
4230334,,,Oak @ Diamond Park,,45.692845296320314,-111.0954415075088,,,0,,America/Denver,,,0,
4230335,,,Oak & Windrow Drive,,45.693097009515924,-111.09593362000032,,,0,,America/Denver,,,0,
4230336,,,Oak & Ferguson (Westbound),,45.69312146569584,-111.09289029772638,,,0,,America/Denver,,,0,
4230337,,,Oak & Ferguson (Eastbound),,45.6928154069177,-111.09297691948791,,,0,,America/Denver,,,0,
4230338,,,Oak & Meagher,,45.69283091641219,-111.08608176480556,,,0,,America/Denver,,,0,
4230339,,,Oak & Davis (Dinosaur Park),,45.69315347084111,-111.08486353055774,,,0,,America/Denver,,,0,
4230340,,,27th & Goldenrod (Westbound),,45.6905784608697,-111.072604523063,,,0,,America/Denver,,,0,
4230341,,,27th & Goldenrod (Eastbound),,45.6904019301764,-111.072708031377,,,0,,America/Denver,,,0,
4230342,,,27th & Rose (Westbound),,45.6877639550326,-111.072598397148,,,0,,America/Denver,,,0,
4230343,,,27th & Rose (Eastbound),,45.6875747138244,-111.072691515963,,,0,,America/Denver,,,0,
4230344,,,Tschache @ Family Promise (Northbound),,45.696681893703214,-111.05803124445517,,,0,,America/Denver,,,0,
4230345,,,Tschache @ Family Promise (Southbound),,45.69658938158085,-111.05804107899417,,,0,,America/Denver,,,0,
4230346,,,15th & Oak (Southbound),,45.69331035631984,-111.05692324138391,,,0,,America/Denver,,,0,
4230347,,,Main @ Lindley Park,,45.6793037683197,-111.02472669632168,,,0,,America/Denver,,,0,
4230348,,,Main @ Jackpot Casino,,45.67948554156101,-111.02413009137527,,,0,,America/Denver,,,0,
4230349,,,Huffine & Boardwalk,,45.67134893987313,-111.10116924419953,,,0,,America/Denver,,,0,
4230350,,,Ferguson & Granite,,45.67477799645724,-111.09368687833192,,,0,,America/Denver,,,0,
4230351,,,Ferguson & Ravalli,,45.67624514838647,-111.0936089747985,,,0,,America/Denver,,,0,
4230352,,,Ferguson & Toole,,45.683779497676056,-111.09349228425367,,,0,,America/Denver,,,0,
4230354,,,Frontage Rd @ Cherry River,,45.71084729600375,-111.05157330613629,,,0,,America/Denver,,,0,
782331,,,11th & Lincoln,,45.66377050195746,-111.05199229679278,,,0,,America/Denver,,,0,
782334,,,19th & Babcock (Loaf & Jug),,45.6785421,-111.0632273,,,0,,America/Denver,,,0,
782335,,,19th & Baxter North (Town Pump),,45.700845163446786,-111.06529001938598,,,0,,America/Denver,,,0,
782337,,,19th & College,,45.670745,-111.062455,,,0,,America/Denver,,,0,
782339,,,19th & Koch,,45.675017,-111.062339,,,0,,America/Denver,,,0,
782342,,,Tschache & 19th (Northbound),,45.6967057124194,-111.061757856393,,,0,,America/Denver,,,0,
782344,,,27th & Catron,,45.711704569393106,-111.07387905253358,,,0,,America/Denver,,,0,
782347,,,6th & Garfield North,,45.66694427018777,-111.04535247185309,,,0,,America/Denver,,,0,
782348,,,6th & Garfield South,,45.6673777,-111.0454744,,,0,,America/Denver,,,0,
782350,,,7th @ M View Plaza,,45.68894099525474,-111.04607452335955,,,0,,America/Denver,,,0,
782351,,,8th & Babcock,,45.6784513299198,-111.048104095581,,,0,,America/Denver,,,0,
782352,,,8th & Harrison North,,45.67031064529516,-111.04791748647877,,,0,,America/Denver,,,0,
782353,,,8th & Harrison South,,45.6702656,-111.0481949,,,0,,America/Denver,,,0,
782355,,,8th & Koch South,,45.6754013,-111.048129,,,0,,America/Denver,,,0,
782359,,,Babcock & 3rd (Emerson),,45.678238595802014,-111.04146456056974,,,0,,America/Denver,,,0,
782360,,,Babcock & 7th,,45.678301051252,-111.04703785844,,,0,,America/Denver,,,0,
782363,,,Babcock & Tracy,,45.67821764837598,-111.03734327033389,,,0,,America/Denver,,,0,
782368,,,Bozeman Health ER Entrance,,45.66887900363207,-111.01888512314228,,,0,,America/Denver,,,0,
782369,,,Main @ Bozeman High School,,45.679447297928135,-111.05281144178339,,,0,,America/Denver,,,0,
782370,,,Tschache & 19th (Southbound),,45.696613717519625,-111.06178654679628,,,0,,America/Denver,,,0,
782372,,,Catron @ Target,,45.712121521802544,-111.07078405680872,,,0,,America/Denver,,,0,
782373,,,Cattail @ City  (driveway),,45.70768526223347,-111.06725333327815,,,0,,America/Denver,,,0,
782375,,,College & 16th (Law & Justice Center),,45.67115481847756,-111.05884899549864,,,0,,America/Denver,,,0,
782376,,,College & 23rd East,,45.67105009990365,-111.06715072934719,,,0,,America/Denver,,,0,
782377,,,College & 23rd West,,45.67121591808578,-111.06768268932383,,,0,,America/Denver,,,0,
782384,,,Ellis & Haggerty,,45.67212820476789,-111.00949211537302,,,0,,America/Denver,,,0,
782385,,,Highland & Ellis,,45.67197806356984,-111.01704071739151,,,0,,America/Denver,,,0,
782387,,,Fallon & Cottonwood,,45.674824728902166,-111.10378534158617,,,0,,America/Denver,,,0,
782389,,,Fallon & Resort,,45.6748142325581,-111.099779881778,,,0,,America/Denver,,,0,
782391,,,Ferguson & Babcock,,45.67874346354665,-111.09352358190304,,,0,,America/Denver,,,0,
782392,,,Ferguson & Cascade,,45.68176434700894,-111.09351175316614,,,0,,America/Denver,,,0,
782394,,,Ferguson & Durston,,45.685337521448304,-111.09345690808111,,,0,,America/Denver,,,0,
