stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2753592,,,Reeves Road & Springhill (Les Schwab),,45.7195383805621,-111.065607405054,,,0,,America/Denver,,,0,
2753593,,,Belgrade: Main Street & Lewis & Clark Park,,45.7743842351701,-111.173111156869,,,0,,America/Denver,,,0,
2753594,,,Belgrade: Main & Kennedy,,45.7757204672418,-111.176067727552,,,0,,America/Denver,,,0,
2753595,,,Belgrade: Grogan @ Peaks Urgent Care,,45.7790178601633,-111.181690129361,,,0,,America/Denver,,,0,
2753596,,,Belgrade High School,,45.7826988079724,-111.180224662529,,,0,,America/Denver,,,0,
2753597,,,Belgrade: Jackrabbit @ Gallatin Trails Apartment,,45.7818072388658,-111.184985360032,,,0,,America/Denver,,,0,
2753598,,,Belgrade: Main & Grogan (Motor Vehicle Office),,45.7786480756678,-111.181961950848,,,0,,America/Denver,,,0,
2753599,,,Belgrade: Main & Kennedy (Park and Ride),,45.7750922656886,-111.175113467637,,,0,,America/Denver,,,0,
2753600,,,Belgrade: Main @ Nutrient Ag Solutions,,45.7730402311847,-111.171049854151,,,0,,America/Denver,,,0,
2753601,,,7th & Griffin Drive (Dotty's),,45.7001784286509,-111.04638119799,,,0,,America/Denver,,,0,
2753602,,,Reeves Road & Springhill (Les Schwab) To Bozeman,,45.7194910031966,-111.065725399929,,,0,,America/Denver,,,0,
4230322,,,Laurel Pkwy & Glenellen Dr. (Westbound),,45.6907746076004,-111.114169446221,,,0,,America/Denver,,,0,
4230323,,,Laurel & Sherwood Way,,45.6908075085163,-111.113870788382,,,0,,America/Denver,,,0,
4230324,,,Laurel Pkwy & Saxon Way,,45.692068095832,-111.114198999994,,,0,,America/Denver,,,0,
4230325,,,Laurel Pkwy & Baxter Creek Way,,45.6922309934522,-111.11393238026,,,0,,America/Denver,,,0,
4230326,,,Oak & Abigail,,45.6928229790301,-111.110796158983,,,0,,America/Denver,,,0,
4230327,,,Oak & Rosa Way (Westbound),,45.6930800730875,-111.108360958412,,,0,,America/Denver,,,0,
4230328,,,Oak & Rosa Way (Eastbound),,45.6927933620823,-111.108320209698,,,0,,America/Denver,,,0,
4230329,,,Oak & Twin Lakes Avenue (Westbound),,45.6931008490174,-111.106496562915,,,0,,America/Denver,,,0,
4230330,,,Oak & Twin Lakes Avenue (Eastbound),,45.6928385265442,-111.106009193696,,,0,,America/Denver,,,0,
4230331,,,Oak & Cottonwood,,45.6928709167857,-111.104450760829,,,0,,America/Denver,,,0,
4230332,,,Oak @ Northwest Crossing,,45.6931413682213,-111.104444268994,,,0,,America/Denver,,,0,
4230333,,,Oak (across from Gallatin High),,45.6931217024873,-111.102153621448,,,0,,America/Denver,,,0,
4230334,,,Oak @ Diamond Park,,45.6928452963203,-111.095441507509,,,0,,America/Denver,,,0,
4230335,,,Oak & Windrow Drive,,45.6930970095159,-111.09593362,,,0,,America/Denver,,,0,
4230336,,,Oak & Ferguson (Westbound),,45.6931214656958,-111.092890297726,,,0,,America/Denver,,,0,
4230337,,,Oak & Ferguson (Eastbound),,45.6928154069177,-111.092976919488,,,0,,America/Denver,,,0,
4230338,,,Oak & Meagher,,45.6928309164122,-111.086081764806,,,0,,America/Denver,,,0,
4230339,,,Oak & Davis (Dinosaur Park),,45.6931534708411,-111.084863530558,,,0,,America/Denver,,,0,
4230340,,,27th & Goldenrod (Westbound),,45.6905784608697,-111.072604523063,,,0,,America/Denver,,,0,
4230341,,,27th & Goldenrod (Eastbound),,45.6904019301764,-111.072708031377,,,0,,America/Denver,,,0,
4230342,,,27th & Rose (Westbound),,45.6877639550326,-111.072598397148,,,0,,America/Denver,,,0,
4230343,,,27th & Rose (Eastbound),,45.6875747138244,-111.072691515963,,,0,,America/Denver,,,0,
4230344,,,Tschache @ Family Promise (Northbound),,45.6966818937032,-111.058031244455,,,0,,America/Denver,,,0,
4230345,,,Tschache @ Family Promise (Southbound),,45.6965893815808,-111.058041078994,,,0,,America/Denver,,,0,
4230346,,,15th & Oak (Southbound),,45.6933103563198,-111.056923241384,,,0,,America/Denver,,,0,
